CENTRO COMERCIAL	LOCAL	CATEGORIA
MALL DEL PACÍFICO	ANDALUCIA	servicios
MALL DEL PACÍFICO	CLARO	servicios
MALL DEL PACÍFICO	CNT	servicios
MALL DEL PACÍFICO	MOVISTAR	servicios
MALL DEL PACÍFICO	BANCO GUAYAQUIL	zona-bancaria
MALL DEL PACÍFICO	CONDELPI	servicios
MALL DEL PACÍFICO	NETLIFE	servicios
MALL DEL PACÍFICO	MUNDO MÁGICO DE LAS MASCOTAS	mascotas
MALL DEL PACÍFICO	BANCO SOLIDARIO	zona-bancaria
MALL DEL PACÍFICO	BYD	servicios
MALL DEL PACÍFICO	MUTUALISTA PICHINCHA	servicios
MALL DEL PACÍFICO	MEGAMAXI	supermercados-y-ferreterias
MALL DEL PACÍFICO	TUENTI	servicios
MALL DEL PACÍFICO	SUPER PACO	supermercados-y-ferreterias
MALL DEL PACÍFICO	MAVESA	vehiculos
